"year";"region";"selling_price"
"1995";"Amsterdam";98008
"1996";"Amsterdam";110420
"1997";"Amsterdam";126024
"1998";"Amsterdam";151254
"1999";"Amsterdam";189227
"2000";"Amsterdam";224938
"2001";"Amsterdam";247082
"2002";"Amsterdam";251413
"2003";"Amsterdam";231768
"2004";"Amsterdam";227679
"2005";"Amsterdam";238189
"2006";"Amsterdam";257215
"2007";"Amsterdam";285587
"2008";"Amsterdam";305206
"2009";"Amsterdam";280670
"2010";"Amsterdam";281206
"2011";"Amsterdam";284668
"2012";"Amsterdam";270507
"2013";"Amsterdam";256308
"2014";"Amsterdam";272438
"2015";"Amsterdam";303925
"2016";"Amsterdam";358976
"2017";"Amsterdam";407670
"2018";"Amsterdam";460705
"2019";"Amsterdam";484995
"2020";"Amsterdam";510919
"2021";"Amsterdam";569890
